customer_id,purchase_date,amount
CUST0655,2024-11-03,22.26
CUST0282,2024-08-27,119.37
CUST0755,2024-11-08,341.58
CUST0914,2024-03-26,52.6
CUST0433,2024-12-14,24.6
CUST0224,2024-09-02,257.62
CUST0028,2024-03-18,107.43
CUST0666,2024-01-06,277.02
CUST0226,2024-05-15,298.74
CUST0829,2024-12-27,381.82
CUST0164,2024-01-08,217.08
CUST0285,2024-10-12,115.5
CUST0782,2024-07-11,60.08
CUST0390,2024-11-11,185.9
CUST0353,2024-02-25,139.62
CUST0045,2024-05-09,272.75
CUST0997,2024-06-20,48.61
CUST0301,2024-02-13,313.07
CUST0883,2024-06-28,292.9
CUST0722,2024-11-25,32.45
CUST0234,2024-08-04,492.76
CUST0876,2024-09-02,434.58
CUST0390,2024-08-10,232.17
CUST0855,2024-06-27,89.7
CUST0364,2024-09-14,338.39
CUST0719,2024-01-16,327.54
CUST0624,2024-02-09,93.86
CUST0747,2024-08-27,90.07
CUST0389,2024-08-14,494.87
CUST0656,2024-01-13,282.91
CUST0702,2024-07-17,423.0
CUST0795,2024-12-02,122.23
CUST0033,2024-07-22,206.57
CUST0068,2024-09-13,457.44
CUST0581,2024-07-22,114.19
CUST0512,2024-06-11,443.49
CUST0659,2024-05-10,80.01
CUST0143,2024-08-26,375.04
CUST0552,2024-08-18,376.04
CUST0439,2024-03-07,205.71
CUST0225,2024-10-21,259.67
CUST0094,2024-12-06,431.94
CUST0157,2024-02-13,88.39
CUST0697,2024-05-28,302.24
CUST0395,2024-06-18,301.99
CUST0480,2024-04-04,133.19
CUST0567,2024-12-25,343.34
CUST0118,2024-01-16,443.55
CUST0769,2024-08-16,386.61
CUST0349,2024-11-03,153.82
CUST0162,2024-05-12,11.59
CUST0740,2024-08-18,486.23
CUST0781,2024-09-30,258.76
CUST0109,2024-02-14,156.24
CUST0655,2024-04-15,308.4
CUST0157,2024-06-22,383.63
CUST0553,2024-04-03,460.06
CUST0614,2024-07-18,249.42
CUST0115,2024-06-28,440.57
CUST0852,2024-07-26,127.33
CUST0247,2024-03-15,474.01
CUST0088,2024-04-26,409.85
CUST0779,2024-04-02,385.26
CUST0132,2024-01-28,242.89
CUST0563,2024-10-07,139.88
CUST0894,2024-02-24,217.34
CUST0217,2024-03-29,380.08
CUST0707,2024-09-19,359.34
CUST0409,2024-01-22,328.44
CUST0449,2024-04-10,231.23
CUST0254,2024-09-06,41.37
CUST0022,2024-03-04,281.42
CUST0603,2024-09-09,13.52
CUST0725,2024-02-11,38.85
CUST0070,2024-12-14,431.22
CUST0073,2024-04-11,126.62
CUST0686,2024-04-26,114.98
CUST0136,2024-03-13,292.34
CUST0249,2024-05-02,405.67
CUST0195,2024-11-12,57.5
CUST0442,2024-07-02,217.55
CUST0479,2024-12-03,339.95
CUST0662,2024-11-10,39.7
CUST0746,2024-07-10,402.29
CUST0112,2024-08-25,103.88
CUST0550,2024-05-15,78.69
CUST0188,2024-08-10,236.69
CUST0896,2024-11-22,227.13
CUST0883,2024-03-24,57.98
CUST0668,2024-03-29,419.65
CUST0993,2024-11-13,463.92
CUST0870,2024-08-31,91.49
CUST0498,2024-04-28,114.74
CUST0411,2024-11-30,90.67
CUST0003,2024-06-14,139.95
CUST0803,2024-05-12,149.77
CUST0714,2024-03-21,334.32
CUST0499,2024-10-12,103.05
CUST0223,2024-12-01,293.8
CUST0556,2024-11-29,376.51
CUST0059,2024-12-05,296.25
CUST0515,2024-04-03,87.14
CUST0984,2024-04-14,49.25
CUST0191,2024-11-25,301.57
CUST0692,2024-09-01,207.85
CUST0965,2024-03-14,130.65
CUST0609,2024-12-10,313.5
CUST0430,2024-01-29,296.0
CUST0536,2024-07-22,468.01
CUST0210,2024-01-23,360.93
CUST0245,2024-08-17,203.94
CUST0688,2024-02-04,157.0
CUST0324,2024-11-23,14.56
CUST0637,2024-03-17,498.09
CUST0076,2024-03-30,114.45
CUST0272,2024-10-24,467.3
CUST0903,2024-11-25,440.84
CUST0379,2024-08-07,87.3
CUST0854,2024-03-27,354.73
CUST0627,2024-01-31,269.18
CUST0684,2024-03-22,156.7
CUST0680,2024-11-07,470.08
CUST0138,2024-08-17,66.56
CUST0110,2024-03-22,86.17
CUST0289,2024-02-25,113.21
CUST0352,2024-09-17,346.87
CUST0874,2024-08-17,257.65
CUST0258,2024-12-04,55.23
CUST0434,2024-08-11,31.6
CUST0342,2024-10-25,322.19
CUST0269,2024-10-09,373.2
CUST0565,2024-01-04,219.57
CUST0010,2024-11-03,46.87
CUST0905,2024-01-12,452.93
CUST0559,2024-12-12,418.95
CUST0597,2024-03-23,82.57
CUST0131,2024-12-09,161.05
CUST0921,2024-12-10,450.47
CUST0216,2024-01-16,132.27
CUST0106,2024-07-02,392.26
CUST0906,2024-06-05,487.18
CUST0768,2024-10-12,463.62
CUST0243,2024-10-08,488.34
CUST0831,2024-10-01,441.89
CUST0026,2024-09-30,370.92
CUST0341,2024-06-03,403.1
CUST0885,2024-08-25,140.73
CUST0807,2024-01-06,62.97
CUST0894,2024-12-11,430.71
CUST0228,2024-09-19,410.13
CUST0472,2024-07-04,159.54
CUST0815,2024-09-05,119.23
CUST0676,2024-09-23,205.25
CUST0286,2024-11-25,483.78
CUST0286,2024-07-04,324.33
CUST0410,2024-01-18,490.76
